# Exported by PeakFit GUI
# Source: E:/VS_CODE/PCM_Fano_GUI/NPs10nmEGPa.txt
# Range: 159.86975 to 2095.75376 (points=1650)
# Parameters:
# C = 1.714000e+05 +/- 0.000000e+00
# D = 1.000000e+05 +/- 0.000000e+00
# b = -19.165666 +/- 0.106200
# g0 = 25.611915 +/- 0.265667
# q = -4.335132 +/- 0.089116
# a = 0.543100 +/- 0.000000e+00
# L = 13.752900 +/- 0.000000e+00
# N = 0.010172 +/- 4.799225e-05
# y0 = 0.012844 +/- 2.130371e-03
# N_g = 0.068287 +/- 4.067750e-03
# x0 = 4.789492e+02 +/- 1.273262
# gg = 50.322616 +/- 4.343101
# x	experimental	fitted	residual
719.725	0.00690204	0.0376523	-0.0307503
720.984	0.00364651	0.0378052	-0.0341587
722.242	0.00620229	0.0379565	-0.0317542
723.501	0.005412	0.0381061	-0.0326941
724.759	0.00624828	0.0382541	-0.0320058
726.017	0.00605978	0.0384005	-0.0323408
727.275	0.00624939	0.0385454	-0.032296
728.532	0.00233952	0.0386887	-0.0363492
729.789	4.0272e-05	0.0388305	-0.0387902
731.047	0.00210689	0.0389708	-0.0368639
732.303	0.00186028	0.0391096	-0.0372493
733.56	0.000559583	0.0392469	-0.0386874
734.817	0.00174267	0.0393829	-0.0376402
736.073	0.00441658	0.0395174	-0.0351008
737.329	0.00139648	0.0396505	-0.038254
738.585	0.00291525	0.0397823	-0.036867
739.84	0.00269047	0.0399127	-0.0372222
741.096	0.0012519	0.0400417	-0.0387898
742.351	-0.00210861	0.0401695	-0.0422781
743.606	-0.00688787	0.0402959	-0.0471838
744.861	-0.0088719	0.0404211	-0.049293
746.115	-0.00423533	0.040545	-0.0447804
747.369	-0.00466454	0.0406677	-0.0453323
748.624	-0.00208021	0.0407892	-0.0428694
749.877	-0.00574364	0.0409094	-0.0466531
751.131	-0.00438369	0.0410285	-0.0454122
752.385	-0.0077834	0.0411464	-0.0489298
753.638	-0.0078155	0.0412632	-0.0490787
754.891	-0.0117501	0.0413788	-0.0531289
756.144	-0.0079673	0.0414932	-0.0494606
757.396	-0.00681988	0.0416066	-0.0484265
758.649	-0.00529965	0.0417189	-0.0470186
759.901	-0.00615388	0.0418301	-0.047984
761.153	-0.00307085	0.0419403	-0.0450111
762.405	-0.00677066	0.0420494	-0.04882
763.656	-0.00464047	0.0421574	-0.0467979
764.907	-0.00813509	0.0422645	-0.0503995
766.159	-0.00441282	0.0423705	-0.0467833
767.409	-0.00176058	0.0424755	-0.0442361
768.66	-0.000697519	0.0425796	-0.0432771
769.911	-0.00444999	0.0426827	-0.0471327
771.161	-0.00752092	0.0427849	-0.0503058
772.411	-0.017372	0.0428861	-0.060258
773.661	-0.0205731	0.0429863	-0.0635595
774.91	-0.0256802	0.0430857	-0.0687659
776.16	-0.0242785	0.0431842	-0.0674627
777.409	-0.0199858	0.0432817	-0.0632675
778.658	-0.0188261	0.0433784	-0.0622046
779.906	-0.0158589	0.0434742	-0.0593331
781.155	-0.0132004	0.0435692	-0.0567696
782.403	-0.0122108	0.0436633	-0.0558742
783.651	-0.00991681	0.0437566	-0.0536734
784.899	-0.0124197	0.0438491	-0.0562688
786.147	-0.0118532	0.0439407	-0.0557939
787.394	-0.0119787	0.0440316	-0.0560102
788.642	-0.0148407	0.0441216	-0.0589623
789.889	-0.0157141	0.0442109	-0.0599249
791.135	-0.0195715	0.0442994	-0.0638708
792.382	-0.0184455	0.0443871	-0.0628326
793.628	-0.0213337	0.0444741	-0.0658078
794.875	-0.0224889	0.0445603	-0.0670492
796.12	-0.0216288	0.0446458	-0.0662746
797.366	-0.022672	0.0447306	-0.0674026
798.612	-0.0269735	0.0448146	-0.0717881
799.857	-0.0280644	0.0448979	-0.0729624
801.102	-0.0296957	0.0449806	-0.0746762
802.347	-0.0271953	0.0450625	-0.0722578
803.592	-0.0275645	0.0451438	-0.0727083
804.836	-0.0277287	0.0452244	-0.0729531
806.08	-0.0259335	0.0453043	-0.0712378
807.324	-0.0287063	0.0453836	-0.0740899
808.568	-0.0298925	0.0454622	-0.0753547
809.812	-0.0280304	0.0455402	-0.0735706
811.055	-0.0277656	0.0456175	-0.0733831
812.298	-0.0255919	0.0456943	-0.0712862
813.541	-0.0236684	0.0457703	-0.0694388
