# Exported by PeakFit GUI
# Source: E:/VS_CODE/PCM_Fano_GUI/10nm_50L.txt
# Range: 400.7176 to 639.5074 (points=287)
# Parameters:
# alpha = 78.956800 +/- 0.000000e+00
# C = 1.714000e+05 +/- 0.000000e+00
# D = 1.000000e+05 +/- 0.000000e+00
# b = 5.752042 +/- 0.128497
# g0 = 9.195193 +/- 0.118439
# q = -14.183292 +/- 0.387130
# a = 0.543100 +/- 0.000000e+00
# L = 11.398515 +/- 0.528492
# N = 6.390345e+02 +/- 6.082504
# y0 = 0.018937 +/- 5.662146e-04
# x	experimental	fitted	residual
587.945	0.0140684	0.0190179	-0.0049495
588.768	0.0146388	0.0190308	-0.00439204
589.591	0.0135932	0.0190444	-0.00545122
590.413	0.0144487	0.0190585	-0.00460988
591.236	0.0148289	0.0190733	-0.00424438
592.058	0.0147338	0.0190885	-0.00435469
592.88	0.0154943	0.0191043	-0.00360997
593.702	0.0142586	0.0191204	-0.00486188
594.524	0.0146388	0.019137	-0.00449823
595.346	0.014924	0.019154	-0.00423
596.168	0.015019	0.0191712	-0.00415222
596.989	0.0160646	0.0191888	-0.00312418
597.811	0.0156844	0.0192067	-0.00352227
598.632	0.0162548	0.0192248	-0.00297004
599.453	0.01673	0.0192431	-0.0025131
600.274	0.0173004	0.0192617	-0.0019613
601.095	0.016635	0.0192804	-0.00264543
601.915	0.016635	0.0192993	-0.00266432
602.736	0.0174905	0.0193183	-0.00182785
603.556	0.0170152	0.0193375	-0.0023223
604.376	0.0175856	0.0193568	-0.00177123
605.196	0.0173954	0.0193761	-0.00198071
606.016	0.018346	0.0193956	-0.00104959
606.836	0.0168251	0.0194151	-0.00259002
607.656	0.0186312	0.0194347	-0.000803513
608.475	0.018346	0.0194543	-0.0011083
609.294	0.0189163	0.019474	-0.000557606
610.114	0.0177757	0.0194936	-0.00171796
610.933	0.01673	0.0195133	-0.00278327
611.752	0.0181559	0.019533	-0.0013771
612.57	0.0175856	0.0195527	-0.00196712
613.389	0.0173954	0.0195723	-0.0021769
614.207	0.0160646	0.019592	-0.00352734
615.026	0.0164449	0.0196116	-0.00316674
615.844	0.0159696	0.0196312	-0.00366161
616.662	0.0161597	0.0196507	-0.00349104
617.48	0.0165399	0.0196702	-0.00313031
618.297	0.0165399	0.0196897	-0.00314976
619.115	0.0153042	0.0197091	-0.0044049
619.932	0.0153992	0.0197284	-0.00432917
620.75	0.0155894	0.0197477	-0.00415833
621.567	0.0157795	0.0197669	-0.00398742
622.384	0.0163498	0.019786	-0.00343621
623.201	0.0144487	0.0198051	-0.00535641
624.018	0.015019	0.0198241	-0.00480505
624.834	0.0147338	0.019843	-0.00510911
625.65	0.0158745	0.0198618	-0.00398725
626.467	0.0145437	0.0198805	-0.00533677
627.283	0.0153042	0.0198991	-0.00459496
628.099	0.0154943	0.0199177	-0.0044234
628.915	0.0148289	0.0199362	-0.00510726
629.73	0.0146388	0.0199545	-0.00531574
630.546	0.0154943	0.0199728	-0.0044785
631.361	0.0136882	0.019991	-0.00630275
632.177	0.0146388	0.020009	-0.00537026
632.992	0.014924	0.020027	-0.00510307
633.807	0.0137833	0.0200449	-0.00626163
634.621	0.0141635	0.0200627	-0.00589918
635.436	0.015019	0.0200803	-0.00506134
636.251	0.0137833	0.0200979	-0.00631465
637.065	0.0147338	0.0201154	-0.00538155
637.879	0.0139734	0.0201328	-0.00615937
638.693	0.0139734	0.02015	-0.00617663
639.507	0.0136882	0.0201672	-0.00647896
